,English,Kanji,Kana,Romaji
337,sky,空, そら ,sora
338,that,-,それ ,sore
339,after that,-,それから ,sorekara
340,in that situation,-,それでは ,soredeha
341,university,大学, だいがく ,daigaku
342,embassy,大使館, たいしかん ,taishikan
343,all right,大丈夫, だいじょうぶ ,daijōbu
344,to be very likeable,大好き, だいすき ,daisuki
345,important,大切, たいせつ ,taisetsu
346,kitchen,台所, だいどころ ,daidokoro
347,very,-,たいへん ,taihen
348,difficult situation,-,たいへん ,taihen
349,"tall, expensive",高い, たかい ,takai
350,many,-,たくさん ,takusan
351,taxi,-,タクシー ,takushī
352,to put out,出す, だす ,dasu
353,to stand,立つ, たつ ,tatsu
354,"length,height",-,たて ,tate
355,building,建物, たてもの ,tatemono
356,enjoyable,楽しい, たのしい ,tanoshii
357,to ask,頼む, たのむ ,tanomu
358,"tobacco,cigarettes",-,たばこ ,tabako
359,probably,-,たぶん ,tabun
360,food,食べ物, たべもの ,tabemono
361,to eat,食べる, たべる ,taberu
362,egg,卵, たまご ,tamago
363,who,誰, だれ ,dare
364,somebody,誰, だれか ,dareka
365,birthday,誕生日, たんじょうび ,tanjōbi
366,gradually,-,だんだん ,dandan
367,little,小さい, ちいさい ,chiisai
368,little,小さな, ちいさな ,chiisana
369,near,近い, ちかい ,chikai
370,to differ,違う, ちがう ,chigau
371,near,近く, ちかく ,chikaku
372,underground train,地下鉄, ちかてつ ,chikatetsu
373,map,地図, ちず ,chizu
374,brown,茶色, ちゃいろ ,chairo
375,rice bowl,-,ちゃわん ,chawan
376,exactly,-,ちょうど ,chōdo
377,somewhat,-,ちょっと ,choっto
378,first of month,一日, ついたち ,tsuitachi
379,to use,使う, つかう ,tsukau
380,to get tired,疲れる, つかれる ,tsukareru
381,next,次, つぎ ,tsugi
382,to arrive at,着く, つく ,tsuku
383,desk,机, つくえ ,tsukue
384,to make,作る, つくる ,tsukuru
385,to turn on,-,つける ,tsukeru
386,to work for someone,勤める, つとめる ,tsutomeru
387,boring,-,つまらない ,tsumaranai
388,cold to the touch,冷たい, つめたい ,tsumetai
389,powerful,強い, つよい ,tsuyoi
390,hand,手, て ,te
391,tape,-,テープ ,tēpu
392,table,-,テーブル ,tēburu
393,tape recorder,-,テープレコーダー ,tēpurekōdā
394,to go out,出かける, でかける ,dekakeru
395,letter,手紙, てがみ ,tegami
396,to be able to,-,できる ,dekiru
397,exit,出口, でぐち ,deguchi
398,test,-,テスト ,tesuto
399,with that...,-,では ,deha
400,department store,-,デパート ,depāto
401,but,-,でも ,demo
402,"to appear,to leave",出る, でる ,deru
403,television,-,テレビ ,terebi
404,weather,天気, てんき ,tenki
405,"electricity,electric light",電気, でんき ,denki
406,electric train,電車, でんしゃ ,densha
407,telephone,電話, でんわ ,denwa
408,Japanese style door,戸, と ,to
409,Western style door,-,ドア ,doa
410,toilet,-,トイレ ,toire
411,"how,in what way",-,どう ,dō
412,for what reason,-,どうして ,dōshite
413,please,-,どうぞ ,dōzo
414,animal,動物, どうぶつ ,dōbutsu
415,thanks,-,どうも ,dōmo
416,far,遠い, とおい ,tōi
417,"ten days,the tenth day",十日, とおか ,tōka
418,sometimes,時々, ときどき ,tokidoki
419,"watch,clock",時計, とけい ,tokei
420,where,-,どこ ,doko
421,place,所, ところ ,tokoro
422,year,年, とし ,toshi
423,library,図書館, としょかん ,toshokan
424,which of two,-,どちら ,dochira
425,which,-,どっち ,doっchi
426,very,-,とても ,totemo
427,who,-,どなた ,donata
428,next door to,隣, となり ,tonari
429,which,-,どの ,dono
430,"to fly,to hop",飛ぶ, とぶ ,tobu
431,to come to a halt,止まる, とまる ,tomaru
432,friend,友達, ともだち ,tomodachi
433,Saturday,土曜日, どようび ,doyōbi
434,bird,鳥, とり ,tori
435,chicken meat,とり肉, とりにく ,toriniku
436,to take something,取る, とる ,toru
437,to take a photo or record a film,撮る, とる ,toru
438,which (of three or more),-,どれ ,dore
439,knife,-,ナイフ ,naifu
440,middle,中, なか ,naka
441,long,長い, ながい ,nagai
442,"animal noise. to chirp, roar or croak etc.",鳴く, なく ,naku
443,to lose something,無くす, なくす ,nakusu
444,why,-,なぜ ,naze
445,summer,夏, なつ ,natsu
446,summer holiday,夏休み, なつやすみ ,natsuyasumi
447,et cetera,-,など ,nado
448,seven,七つ, ななつ ,nanatsu
449,"seven days,the seventh day",七日, なのか ,nanoka
450,name,名前, なまえ ,namae
451,to learn,習う, ならう ,narau
452,"to line up,to stand in a line",並ぶ, ならぶ ,narabu
453,"to line up,to set up",並べる, ならべる ,naraberu
454,to become,-,なる ,naru
455,what,何, なん / なに ,nan / nani
456,two,二, に ,ni
457,"bustling,busy",賑やか, にぎやか ,nigiyaka
458,meat,肉, にく ,niku
459,west,西, にし ,nishi
460,Sunday,日曜日, にちようび ,nichiyōbi
461,luggage,荷物, にもつ ,nimotsu
462,news,-,ニュース ,nyūsu
463,garden,庭, にわ ,niwa
464,to take off clothes,脱ぐ, ぬぐ ,nugu
465,luke warm,温い, ぬるい ,nurui
466,"tie,necktie",-,ネクタイ ,nekutai
467,cat,猫, ねこ ,neko
468,"to go to bed,to sleep",寝る, ねる ,neru
469,"notebook,exercise book",-,ノート ,nōto
470,to climb,登る, のぼる ,noboru
471,a drink,飲み物, のみもの ,nomimono
472,to drink,飲む, のむ ,nomu
473,"to get on,to ride",乗る, のる ,noru
474,tooth,歯, は ,ha
475,party,-,パーティー ,pātī
476,yes,-,はい ,hai
477,ashtray,灰皿, はいざら ,haizara
478,"to enter,to contain",入る, はいる ,hairu
479,postcard,葉書, はがき ,hagaki
480,"to wear,to put on trousers",-,はく ,haku
481,box,箱, はこ ,hako
482,bridge,橋, はし ,hashi
483,chopsticks,-,はし ,hashi
484,to begin,始まる, はじまる ,hajimaru
